,"Total Personal Consumption Expenditures, by State, 2018–2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year/State,United States total,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont,Delaware,District of Columbia,Maryland,New Jersey,New York,Pennsylvania,Illinois,Indiana,Michigan,Ohio,Wisconsin,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,South Dakota,Alabama,Arkansas,Florida,Georgia,Kentucky,Louisiana,Mississippi,North Carolina,South Carolina,Tennessee,Virginia,West Virginia,Arizona,New Mexico,Oklahoma,Texas,Colorado,Idaho,Montana,Utah,Wyoming,Alaska,California,Hawaii,Nevada,Oregon,Washington,Net expenditures abroad by U.S. residents1
Millions of dollars,2018,13913531,181568,60086,364730,69527,45923,30020,44250,47631,273980,443500,976857,577036,559565,253792,411916,463474,238008,119390,111458,255154,244845,78632,34104,36219,170857,101727,927049,400690,160788,171430,94782,388543,188549,250646,366752,66584,273434,74540,135983,1128352,259864,61376,43990,113864,24352,36645,1835635,64439,120132,172989,347411,10461
,2019,14428676,185316,62130,377584,72030,47198,30756,45865,49318,280842,458468,1015020,594861,574300,260120,423448,475942,244555,121840,114771,262443,252194,80688,34836,37599,177751,104430,966943,416542,165186,176521,96534,407916,196624,260814,377556,68110,287660,76039,138946,1173809,273403,63986,45545,119970,24839,37780,1921463,66977,125927,180750,363100,11432
,2020,14047565,179406,61124,358472,70719,45397,29545,44834,46454,268457,446078,961707,570772,553612,257343,411364,466160,238923,118905,113185,251205,246053,79714,33631,37338,176480,104489,947906,408753,163750,173521,95998,405953,195959,258252,367303,66404,287090,74276,137469,1164466,270883,64781,45719,121445,24467,35636,1835981,63427,123054,178375,354219,11110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1. Net expenditures abroad by U.S. residents consists of government and private employees' expenditures abroad less personal remittances in kind to nonresidents. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note. Percent change from preceding period was calculated from unrounded data. Expenditures may not sum to higher level aggregates because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source. U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
