State/Region,State Code,Tax Name,Tax Code,Taxes Collected,Population,Region,,
,,,,,,,,
,,,,,,,,
United States,0,Total    Taxes,T00,953954745,,United States total,,
United States,0,Property Taxes,T01,19030677,,United States total,,
United States,0,Sales and Gross Receipts Taxes,TA1,458555919,,United States total,,
United States,0,General Sales and Gross Receipts Taxes,T09,300992624,,United States total,,
United States,0,Selective Sales   and Gross Receipts    Taxes,TA2,157563295,,United States total,,
United States,0,Alcoholic Beverages Sales Tax,T10,6626413,,United States total,,
United States,0,Amusements Sales Tax,T11,7866349,,United States total,,
United States,0,Insurance Premiums Sales Tax,T12,20998923,,United States total,,
United States,0,Motor Fuels Sales Tax,T13,45062362,,United States total,,
United States,0,Pari-mutuels Sales Tax,T14,118408,,United States total,,
United States,0,Public   Utilities   Sales   Tax,T15,12435800,,United States total,,
United States,0,Tobacco   Products   Sales   Tax,T16,18673794,,United States total,,
United States,0,Other   Selective   Sales   and   Gross   Receipts   Taxes,T19,45781246,,United States total,,
United States,0,License   Taxes,TA3,51675414,,United States total,,
United States,0,Alcoholic   Beverages   License,T20,667103,,United States total,,
United States,0,Amusements License,T21,535164,,United States total,,
United States,0,Corporations in General License,T22,5863547,,United States total,,
United States,0,Hunting and Fishing License,T23,1597401,,United States total,,
United States,0,Motor Vehicle License,T24,26139686,,United States total,,
United States,0,Motor Vehicle Operators License,T25,2586299,,United States total,,
United States,0,Public Utilities License,T27,1369746,,United States total,,
United States,0,"Occupation and Business License, NEC",T28,11425223,,United States total,,
United States,0,Other//License//Taxes,T29,1491245,,United States total,,
United States,0,Income//Taxes,TA4,398696310,,United States total,,
United States,0,Individual//Income//Taxes,T40,353484673,,United States total,,
United States,0,Corporations//Net//Income//Taxes,T41,45211637,,United States total,,
United States,0,Other//Taxes,TA5,25996425,,United States total,,
United States,0,Death//and//Gift//Taxes,T50,4757810,,United States total,,
United States,0,Documentarty//and//Stock//Transfer//Taxes,T51,9770350,,United States total,,
United States,0,Severance Taxes,T53,8721660,,United States total,,
United States,0,"Taxes, NEC",T99,2746605,,United States total,,
United States,0,,,,Pop 325147121,United States total,,
,,,,,,,,
New England Region,,,,,,,,
,,,,,,,,
Connecticut,7,Total_Taxes,T00,16686549,,New England Region,,
Connecticut,7,Property_Taxes,T01,X,,New England Region,,
Connecticut,7,Sales_and_Gross_Receipts_Taxes,TA1,6991470,,New England Region,,
Connecticut,7,General_Sales_and_Gross_Receipts_Taxes,T09,4236619,,New England Region,,
Connecticut,7,Selective_Sales_and_Gross_Receipts_Taxes,TA2,2754851,,New England Region,,
Connecticut,7,Alcoholic_Beverages_Sales_Tax,T10,63155,,New England Region,,
Connecticut,7,Amusements_Sales_Tax,T11,297003,,New England Region,,
Connecticut,7,Insurance_Premiums_Sales_Tax,T12,199497,,New England Region,,
Connecticut,7,Motor_Fuels_Sales_Tax,T13,484479,,New England Region,,
Connecticut,7,Pari-mutuels_Sales_Tax,T14,5792,,New England Region,,
Connecticut,7,Public_Utilities_Sales_Tax,T15,283433,,New England Region,,
Connecticut,7,Tobacco_Products_Sales_Tax,T16,381778,,New England Region,,
